Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
95,tt2278871,2013-12-13,2013-12-13,,La vie d'Adèle,https://www.imdb.com/title/tt2278871/,movie,7.8,180,2013,"Drama, Romance",111882,2013-05-23,Abdellatif Kechiche,,
96,tt2167873,2013-12-14,2013-12-14,,Rouva Presidentti,https://www.imdb.com/title/tt2167873/,movie,5.6,90,2012,Documentary,176,2012-03-30,Aleksi Bardy,,
97,tt1411274,2013-12-14,2013-12-14,,Laulu koti-ikävästä,https://www.imdb.com/title/tt1411274/,movie,7.2,90,2012,"Documentary, Drama, Music, Musical",267,2012-09-23,Mika Ronkainen,,
98,tt0073076,2013-12-16,2013-12-16,,Grey Gardens,https://www.imdb.com/title/tt0073076/,movie,7.7,94,1975,"Documentary, Comedy, Drama",9645,1975-09-27,"David Maysles, Muffie Meyer, Ellen Hovde, Albert Maysles",,
99,tt1477076,2013-12-16,2013-12-16,,Saw 3D,https://www.imdb.com/title/tt1477076/,movie,5.6,90,2010,"Horror, Mystery",77883,2010-10-22,Kevin Greutert,,
100,tt2106476,2013-12-19,2013-12-19,,Jagten,https://www.imdb.com/title/tt2106476/,movie,8.3,115,2012,Drama,211947,2012-05-20,Thomas Vinterberg,,
101,tt0100895,2013-12-21,2013-12-21,,Vääpeli Körmy ja marsalkan sauva,https://www.imdb.com/title/tt0100895/,movie,5.4,111,1990,Comedy,544,1990-11-02,Ere Kokkonen,,
102,tt1034314,2013-12-22,2013-12-22,,Iron Sky,https://www.imdb.com/title/tt1034314/,movie,5.9,93,2012,"Action, Comedy, Sci-Fi",84156,2012-02-11,Timo Vuorensola,,
103,tt2205100,2013-12-22,2013-12-22,,Uroot,https://www.imdb.com/title/tt2205100/,short,5.1,8,2011,"Short, Comedy",35,2012-09-01,Oskari Sipola,,
104,tt2478166,2013-12-22,2013-12-22,,Poliisi selvittää,https://www.imdb.com/title/tt2478166/,short,5.6,8,2012,"Short, Comedy",50,2012-03-08,Aleksi Salmenperä,,
105,tt2328024,2013-12-22,2013-12-22,,I've Only Just Begun,https://www.imdb.com/title/tt2328024/,short,6.1,6,2012,"Short, Action, Drama, Musical",51,2012-08-08,Elias Koskimies,,
106,tt2247154,2013-12-22,2013-12-22,,Treffit,https://www.imdb.com/title/tt2247154/,short,6.0,7,2012,"Short, Comedy, Drama",106,2012-09-22,Jenni Toivoniemi,,
107,tt2256646,2013-12-22,2013-12-22,,Pitääkö mun kaikki hoitaa?,https://www.imdb.com/title/tt2256646/,short,6.7,7,2012,"Short, Comedy, Drama, Family",893,2012-02-17,Selma Vilhunen,,
108,tt2335836,2013-12-22,2013-12-22,,Sano kiitos ja tanssi,https://www.imdb.com/title/tt2335836/,short,6.0,6,2012,"Short, Comedy, Drama",78,2012-08-09,Antti Heikki Pesonen,,
109,tt1908559,2013-12-22,2013-12-22,,Sielunsieppaaja,https://www.imdb.com/title/tt1908559/,short,5.8,14,2011,"Documentary, Short, Drama",19,2011-03-10,P.V. Lehtinen,,
110,tt2183122,2013-12-22,2013-12-22,,Svamp,https://www.imdb.com/title/tt2183122/,short,4.9,9,2011,"Short, Comedy, Drama",42,2011-01-29,Charlotta Miller,,
111,tt0103228,2013-12-23,2013-12-23,,Vääpeli Körmy ja vetenalaiset vehkeet,https://www.imdb.com/title/tt0103228/,movie,4.9,87,1991,Comedy,539,1991-10-18,Ere Kokkonen,,
112,tt0243155,2013-12-24,2013-12-24,,Bridget Jones's Diary,https://www.imdb.com/title/tt0243155/,movie,6.7,97,2001,"Comedy, Drama, Romance",193562,2001-04-04,Sharon Maguire,,
113,tt1379182,2013-12-26,2013-12-26,,Kynodontas,https://www.imdb.com/title/tt1379182/,movie,7.3,94,2009,"Drama, Thriller",57824,2009-05-18,Yorgos Lanthimos,,
114,tt0469021,2013-12-27,2013-12-27,,Alan Partridge: Alpha Papa,https://www.imdb.com/title/tt0469021/,movie,6.9,90,2013,"Comedy, Crime",26553,2013-07-24,Declan Lowney,,
115,tt0400497,2013-12-29,2013-12-29,,Herbie Fully Loaded,https://www.imdb.com/title/tt0400497/,movie,4.8,101,2005,"Adventure, Comedy, Family, Fantasy, Romance, Sport",39864,2005-06-19,Angela Robinson,,
116,tt0493459,2013-12-29,2013-12-29,,This Film Is Not Yet Rated,https://www.imdb.com/title/tt0493459/,movie,7.5,98,2006,Documentary,26230,2006-01-25,Kirby Dick,,
117,tt0181288,2013-12-29,2013-12-29,,American Movie,https://www.imdb.com/title/tt0181288/,movie,7.9,107,1999,"Documentary, Comedy",14735,1999-01-01,Chris Smith,,
